Year,Rank,Team,Matches_Won,Matches_Lost,Matches_NR,Net_RR,For,Against,Points
2023,1,Gujarat Titans,10,4,0,0.809,1900,1501,20
2023,2,Chennai Super Kings,8,5,0,0.652,1884,1627,17
2023,3,Lucknow Supergiants,8,5,0,0.284,1823,1642,17
2023,4,Mumbai Indians,8,6,0,-0.044,1802,1781,16
2023,5,Rajasthan Royals,7,7,0,0.148,1772,1712,14
2023,6,Royal Challengers Bangalore,7,7,0,0.135,1789,1725,14
2023,7,Kolkata Knight Riders,6,8,0,-0.239,1694,1821,12
2023,8,Punjab Kings,6,8,0,-0.304,1678,1839,12
2023,9,Delhi Capitals,5,9,0,-0.808,1554,1883,10
2023,10,Sunrisers Hyderabad,4,10,0,-0.590,1453,1692,8
2022,1,Gujarat Titans,10,4,0,0.316,2339/278.1,2216/273.5,20
2022,2,Rajasthan Royals,9,5,0,0.298,2464/279.2,2351/275.5,18
2022,3,Lucknow Supergiants,9,5,0,0.251,2355/279.1,2289/279.4,18
2022,4,Royal Challengers Bangalore,8,6,0,-0.253,2268/275.4,2260/266.3,16
2022,5,Delhi Capitals,7,7,0,0.204,2341/266.0,2397/278.5,14
2022,6,Punjab Kings,7,7,0,0.126,2343/270.1,2252/263.3,14
2022,7,Kolkata Knight Riders,6,8,0,0.146,2223/268.1,2249/276.1,12
2022,8,Sunrisers Hyderabad,6,8,0,-0.379,2197/261.3,2416/275.1,12
2022,9,Chennai Super Kings,4,10,0,-0.203,2288/280.0,2254/269.1,8
2022,10,Mumbai Indians,4,10,0,-0.506,2217/273.2,2351/272.5,8
2021,1,Delhi Capitals,10,4,0,0.481,2180/267.0,2136/278.0,20
2021,2,Chennai Super Kings,9,5,0,0.455,2368/272.0,2218/268.5,18
2021,3,Royal Challengers Bangalore,9,5,0,-0.140,2165/273.4,2159/268.1,18
2021,4,Kolkata Knight Riders,7,7,0,0.587,2119/259.5,2080/274.5,14
2021,5,Mumbai Indians,7,7,0,0.116,2117/265.5,2128/271.1,14
2021,6,Punjab Kings,6,8,0,-0.001,2150/270.1,2117/266.0,12
2021,7,Rajasthan Royals,5,9,0,-0.993,2196/276.0,2318/259.0,10
2021,8,Sunrisers Hyderabad,3,11,0,-0.545,2077/277.1,2216/275.4,6
2020,1,Mumbai Indians,9,5,0,1.107,2378/262.2,2187/274.5,18
2020,2,Delhi Capitals,8,6,0,-0.109,2289/278.5,2271/273.0,16
2020,3,Sunrisers Hyderabad,7,7,0,0.608,2225/269.3,2125/277.5,14
2020,4,Royal Challengers Bangalore,7,7,0,-0.172,2147/272.2,2183/271.0,14
2020,5,Kolkata Knight Riders,7,7,0,-0.214,2219/278.0,2206/269.1,14
